link_prob,average_travel_time,packets_lost
0.05,89,462.72727272727275
0.1,85,383.06666666666666
0.15,67,400.5151515151515
0.2,433.3,60
0.25,503.9111111111111,55
0.3,490.7111111111111,55
0.35,42,359.41379310344826
0.4,48,482.96153846153845
0.45,353.56,50
0.5,42,358.2758620689655
0.55,376.56451612903226,38
0.6,274.14285714285717,37
0.65,25,329.38666666666666
0.7,308.12987012987014,23
0.75,32,278.0
0.8,16,305.73809523809524
0.85,11,328.76404494382024
0.9,17,283.28915662650604
0.95,8,271.9673913043478
